Год;Месяц;Компания;Бренд;Модель;Модификация;Год выпуска;Страна-производитель;Вид топлива;Объём двиг, л,;Коробка передач;Тип привода;Сегмент;Регион;Наименование дилерского центра;Тип клиента;Форма расчета;Количество;Цена, USD;Продажа, USD;Область;Сегментация 2013;Класс 2013;Сегментация Eng;Локализация производства
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Шымкент;Hyundai Center Shimkent;Физ. Лицо;;1;19734,05138;19734,05138;Южно-Казахстанская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Шымкент;Hyundai Center Shimkent;Физ. Лицо;;1;19734,05138;19734,05138;Южно-Казахстанская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Актау;Astana Motor Aktau;Физ. Лицо;;1;20260,99534;20260,99534;Мангистауская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;19734,05138;19734,05138;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;19734,05138;19734,05138;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;Hyundai Premium Astana;Физ. Лицо;;1;19207,10742;19207,10742;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;19207,10742;19207,10742;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Нур-Султан;Hyundai Premium Astana;Физ. Лицо;;1;22368,77119;22368,77119;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Style;2019;Республика Казахстан;Бензин;2;6AT;2WD;C;Алматы;Hyundai Premium Almaty;Физ. Лицо;;1;22368,77119;22368,77119;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Атырау;Caspi Auto Атырау;Физ. Лицо;;1;17889,74751;17889,74751;Атырауская область;Легковые автомобили;C класс;C;Локальное производство
